d_purpose,dice_odds,chamber_purpose
Death Trap,1,Antechamber or waiting room for spectators
Death Trap,8,Guardroom fortified against intruders
Death Trap,9,"Vault for holding important treasures, accessible only by locked or secret door"
Death Trap,11,"Vault for holding important treasures, accessible only by locked or secret door, trapped"
Death Trap,14,Room containing a puzzle that must be solved to bypass a trap or monster 
Death Trap,19,Trap designed to kill or capture creatures
Death Trap,20,"Observation room, allowing guards or spectators to observe creatures moving through the dungeon"
Lair,1,Armory stocked with weapons and a rmor
Lair,2,"Audience chamber, used to receive guests"
Lair,3,Banquet room for important celebrations
Lair,4,Barracks where the lair's defenders are quartered
Lair,5,"Bed room, for use by leaders"
Lair,6,Chapel where the lair's inhabitants worship
Lair,7,Cistern or well for drinking water 
Lair,9,Guardroom for the defense of the lair
Lair,10,Kennel for pets or guard beasts
Lair,11,Kitchen for food storage and preparation
Lair,12,Pen or prison where captives are held 
Lair,14,"Storage, mostly nonperishable goods "
Lair,15,Throne room where the lair's leaders hold court 
Lair,16,Torture chamber 
Lair,17,Training and exercise room 
Lair,18,Trophy room or museum 
Lair,19,Latrine or bath
Lair,20,"Workshop for the constructi on of weapons, armor, tools, and other goods "
Maze,1,"Conjuring room, used to summon creatures that guard the maze"
Maze,5,Guard room for sentinels th at patrol the maze
Maze,10,Lair for guard beasts that patrol the maze
Maze,11,"Pen or prison accessible only by secret door, used to hold captives condemned to the maze"
Maze,12,Shrine
Maze,14,"Storage for food , as well as tools used by the maze's guardians to keep the complex in working order"
Maze,18,Trap to confound or kill those sent into the maze 
Maze,19,Well that provides drinking water
Maze,20,"Workshop where doors, torch sconces, and other furnishings are repaired and maintained "
Mine,2,Barracks for miners
Mine,3,Bedroom for a supervisor or manager
Mine,4,"Chapel dedicated to a patron deity of miners, earth , or protection "
Mine,5,Cistern providing drinking water for miners 
Mine,7,Guardroom
Mine,8,Kitchen used to feed workers 
Mine,9,Laboratory used to conduct tests on strange minerals extracted from the mine
Mine,14,Lode where metal ore is mined
Mine,15,Lode where metal ore is mined (depleted) 
Mine,16,Office used by the mine supervisor 
Mine,17,Smithy for repairing damaged tools 
Mine,19,Storage for tools and other equipment
Mine,20,Strong room or vault used to store ore for transport to the surface 
Planar gate,3,Decorated foyer or antechamber
Planar gate,8,Armory used by the portal's guardians 
Planar gate,10,Audience chamber for receiving visitors 
Planar gate,19,Barracks used by the portal's guards 
Planar gate,23,Bedroom for use by the high-ranking members of the order that guards the portal 
Planar gate,30, Chapel dedicated to a deity or deities related to the portal and its defenders
Planar gate,35,Cistern providing fresh water
Planar gate,38,Classroom for use of initiates learning about the portal 's secrets
Planar gate,39,Conjuring room for summoning creatures used to investigate or defend the portal 
Planar gate,41,Crypt where the remains of those that died guarding the portal are kept
Planar gate,47,Dining room
Planar gate,50,Divination room used to investigate the portal and events tied to it
Planar gate,55,Dormitory for visitors and guards
Planar gate,57,Entry room or vestibule
Planar gate,59,Gallery for displaying trophies and objects related to the portal and those that guard it 
Planar gate,67,Guardroom to protect or watch over the portal
Planar gate,72,Kitchen
Planar gate,77,Laboratory for conducting experiments relating to the portal and creatures that emerge from it 
Planar gate,80,Library holding books about the portal's history
Planar gate,85,Pen or prison for holding captives or creatures that emerge from the portal 
Planar gate,86,"Planar junction , where the gate to another plane once stood (Deactive)"
Planar gate,88,"Planar junction , where the gate to another plane once stood (Active)"
Planar gate,90,Storage
Planar gate,91,"Strong room or vault, for guarding valuable treasures connected to the portal or funds used to pay the planar gate's guardians"
Planar gate,93,Study
Planar gate,94,"Torture chamber, for questioning creatures that pass through the portal or that attempt to clandestinely use it"
Planar gate,98,Latrine or bath 
Planar gate,100,Workshop for constructing tools and gear needed to study the portal 
Stronghold,2,Antechamber where visitors seeking access to the stronghold wait
Stronghold,5,"Armory holding high-quality gear, including light siege weapons such as ballistas "
Stronghold,6,Audience chamber used by the master of the stronghold to receive visitors
Stronghold,7,Aviary or zoo for keeping exotic creatures
Stronghold,11,Banquet room for hosting celebrations and guests 
Stronghold,15,Barracks used by elite guards 
Stronghold,16,Bath outfitted with a marble floor and other luxurious accoutrements 
Stronghold,17,Bedroom for use by the stronghold 's master or important guests
Stronghold,18,Chapel dedicated to a deity associated with the stronghold's master 
Stronghold,21,Cistern providing drinking water
Stronghold,25,Dining room for intimate gatherings or informal meals
Stronghold,26,Dressing room featuring a number of wardrobes
Stronghold,29,Gallery for the display of expensive works of art and trophies 
Stronghold,32,Game room used to entertain visitors
Stronghold,50,Guardroom 
Stronghold,51,Kennel where monsters or trained animals that protect the stronghold are kept 
Stronghold,57,Kitchen designed to prepare exotic foods for large numbers of guests
Stronghold,61,Library with an extensive collection of rare books
Stronghold,62,Lounge used to entertain guests
Stronghold,70,"Pantry, including cellar for wine or spirits"
Stronghold,74,Sitting room for family and intimate guests 
Stronghold,78,Stable
Stronghold,86, Storage for mundane goods and supplies
Stronghold,87,Strong room or vault for protecting important treasures
Stronghold,92," Study, including a writing desk "
Stronghold,93,"Throne room, elaborately decorated"
